,City,Cloudiness,Humidity,Latitude,Temperature,Windspeed
1116,Whitehorse,75,43,60.72,15.8,5.82
1117,Kaitangata,0,57,-46.28,60.68,28.1
1118,Manaus,40,94,-3.13,77.0,2.37
1119,Saint-Francois,0,67,46.42,51.8,10.29
1120,Hilo,1,88,19.71,73.4,6.93
1121,Busselton,0,83,-33.64,75.44,9.42
1122,Barrow,0,91,-38.31,54.56,9.19
1123,Luderitz,80,82,-26.65,62.6,1.12
1124,Maldonado,90,94,-34.91,68.0,9.17
1125,Kailua,75,73,21.39,69.78,13.87
1126,Portland,20,56,45.52,39.63,3.36
1127,Gwadar,0,86,25.12,80.3,2.59
1128,Rikitea,20,100,-23.12,79.04,4.94
1129,Inirida,56,97,3.87,73.64,2.04
1130,Hermanus,76,96,-34.42,62.3,5.95
1131,Punta Arenas,0,80,-53.16,41.0,11.41
1132,Port-Gentil,40,100,-0.72,77.0,2.24
1133,Busselton,0,83,-33.64,75.44,9.42
1134,Malanje,75,93,-9.54,66.2,6.93
1135,Thompson,5,57,55.74,-13.01,4.38
1136,Tuktoyaktuk,76,78,69.44,-3.03,9.17
1137,Jamestown,0,33,-33.21,75.44,6.96
1138,Lambari,48,96,-21.98,59.69,2.71
1139,Dakar,75,88,14.69,64.4,10.29
1140,El Dorado,92,73,6.71,78.41,3.94
1141,Provideniya,20,100,64.42,28.4,2.24
1142,Tevriz,0,69,57.51,27.29,7.4
1143,Punta Arenas,0,80,-53.16,41.0,11.41
1144,Miracema do Tocantins,76,96,-9.56,71.57,3.04
1145,Mahon,75,100,51.89,44.6,8.05
1146,Niles,90,88,41.83,39.2,8.05
1147,Atuona,68,100,-9.8,81.38,16.35
1148,Bima,32,77,-8.45,86.06,2.59
1149,Sarangani,0,100,5.4,83.09,4.05
1150,Yumen,8,38,40.29,50.33,11.99
1151,Saint-Francois,0,67,46.42,51.8,10.29
1152,Port Lincoln,0,83,-34.72,67.88,7.63
1153,Rikitea,20,100,-23.12,79.04,4.94
1154,Umm Kaddadah,0,15,13.6,69.59,12.88
1155,Tuatapere,56,100,-46.13,57.8,26.98
1156,Hobart,20,40,-42.88,69.8,17.22
1157,Ushuaia,75,80,-54.81,41.0,16.11
1158,Punta Arenas,0,80,-53.16,41.0,11.41
1159,Marsh Harbour,48,100,26.54,72.83,13.78
1160,Ushuaia,75,80,-54.81,41.0,16.11
1161,Jamestown,0,33,-33.21,75.44,6.96
1162,Tunceli,0,53,39.11,47.23,6.93
1163,Hilo,1,88,19.71,73.4,6.93
1164,Rikitea,20,100,-23.12,79.04,4.94
1165,Correntina,0,88,-13.34,66.89,3.04
1166,Winneba,0,88,5.35,80.6,9.17
1167,Tiksi,36,85,71.64,13.97,7.07
1168,Santa Cruz,1,81,36.97,53.15,3.36
1169,Butaritari,80,100,3.07,82.82,10.2
1170,Akita,75,59,39.72,60.49,14.99
1171,Ushuaia,75,80,-54.81,41.0,16.11
1172,Syracuse,75,77,43.05,31.06,4.7
1173,Zyryanka,64,70,65.73,35.57,6.06
1174,Port Augusta,0,56,-32.49,71.6,18.34
1175,Chokurdakh,8,88,70.62,23.51,15.68
1176,Atuona,68,100,-9.8,81.38,16.35
1177,Kruisfontein,88,94,-34.0,69.14,3.38
1178,Castro,92,100,-42.48,54.92,3.6
1179,Severo-Kurilsk,92,99,50.68,31.25,18.14
1180,Saskylakh,0,75,71.97,0.2,6.96
1181,Punta Arenas,0,80,-53.16,41.0,11.41
1182,Mataura,92,73,-46.19,59.15,27.98
1183,Ponta do Sol,44,94,-20.63,64.19,3.04
1184,Hobart,20,40,-42.88,69.8,17.22
1185,Karratha,0,22,-20.74,105.95,5.06
1186,Dromolaxia,20,49,34.88,66.07,13.87
1187,Geraldton,5,69,49.72,-13.01,2.24
1188,Kwinana,0,48,-32.25,90.32,12.75
1189,Butaritari,80,100,3.07,82.82,10.2
1190,Quezon,92,99,16.49,68.78,2.59
1191,Ushuaia,75,80,-54.81,41.0,16.11
1192,Busselton,0,83,-33.64,75.44,9.42
1193,Hobyo,76,77,5.35,84.08,7.96
1194,Finschhafen,64,90,-6.6,79.04,1.59
1195,Avarua,75,88,-21.21,77.0,8.05
1196,Butaritari,80,100,3.07,82.82,10.2
1197,Kingaroy,80,55,-26.54,77.42,17.47
1198,Tuatapere,56,100,-46.13,57.8,26.98
1199,Vaini,0,39,15.34,91.64,3.27
1200,San Patricio,8,94,-26.98,64.19,2.15
1201,Flin Flon,44,72,54.77,0.56,2.48
1202,Iquique,0,68,-20.22,66.2,1.81
1203,Avarua,75,88,-21.21,77.0,8.05
1204,Namatanai,24,100,-3.66,82.73,6.17
1205,Aklavik,75,77,68.22,-0.41,3.36
1206,Dzhubga,64,84,44.32,46.19,5.17
1207,Thompson,5,57,55.74,-13.01,4.38
1208,Neulengbach,0,80,48.2,42.12,3.36
1209,Yerbogachen,36,54,61.28,24.05,6.4
1210,Dikson,36,91,73.51,1.55,18.81
1211,Vaini,0,39,15.34,91.64,3.27
1212,Bandarbeyla,76,100,9.49,80.57,5.73
1213,Tiksi,36,85,71.64,13.97,7.07
1214,Tura,0,66,25.52,84.53,3.15
1215,Lompoc,90,87,34.64,51.8,3.36
1216,Poum,20,75,41.28,41.0,2.24
1217,Mataura,92,73,-46.19,59.15,27.98
1218,Broome,75,93,52.47,50.0,11.41
1219,Rikitea,20,100,-23.12,79.04,4.94
1220,Carnarvon,92,96,-30.97,58.34,6.62
1221,Hilo,1,88,19.71,73.4,6.93
1222,Hobart,20,40,-42.88,69.8,17.22
1223,Atuona,68,100,-9.8,81.38,16.35
1224,Busselton,0,83,-33.64,75.44,9.42
1225,Tautira,20,83,-17.73,78.8,3.36
1226,Carnarvon,92,96,-30.97,58.34,6.62
1227,Jamestown,0,33,-33.21,75.44,6.96
1228,Tiksi,36,85,71.64,13.97,7.07
1229,Hilo,1,88,19.71,73.4,6.93
1230,Petatlan,0,98,17.52,76.07,4.05
1231,Mataura,92,73,-46.19,59.15,27.98
1232,Mahebourg,75,79,-20.41,84.2,6.93
1233,Mbanza-Ngungu,100,95,-5.25,72.02,4.61
1234,Nemuro,75,81,43.32,46.4,8.05
1235,Port Alfred,80,95,-33.59,70.85,10.87
1236,Rikitea,20,100,-23.12,79.04,4.94
1237,Sandy Bay,20,40,-42.9,69.8,17.22
1238,Los Andes,0,87,-32.83,53.6,3.36
1239,Mataura,92,73,-46.19,59.15,27.98
1240,Ponta do Sol,44,94,-20.63,64.19,3.04
1241,Alihe,48,29,50.57,26.21,12.55
1242,Taitung,75,61,22.76,78.8,5.82
1243,Revelstoke,90,92,50.99,30.2,4.7
1244,Tiksi,36,85,71.64,13.97,7.07
1245,Banda Aceh,24,78,5.56,86.24,3.49
1246,Batemans Bay,48,88,-35.71,67.25,3.83
1247,Ushuaia,75,80,-54.81,41.0,16.11
1248,Manokwari,12,100,-0.87,83.36,17.69
1249,Novopokrovka,20,38,45.85,38.45,10.42
1250,Kapaa,40,83,22.08,71.47,8.05
1251,Kontagora,0,79,10.4,74.99,6.73
1252,Ushuaia,75,80,-54.81,41.0,16.11
1253,Busselton,0,83,-33.64,75.44,9.42
1254,Busselton,0,83,-33.64,75.44,9.42
1255,Clyde River,90,84,70.47,8.6,4.7
1256,Khasan,88,60,42.43,45.29,9.31
1257,Simao,80,46,22.76,79.4,2.82
1258,Bambous Virieux,75,88,-20.34,80.6,8.05
1259,Vaini,0,39,15.34,91.64,3.27
1260,Butaritari,80,100,3.07,82.82,10.2
1261,Bakel,0,28,14.9,72.74,11.32
1262,Cape Town,0,77,-33.93,64.4,5.82
1263,Luderitz,80,82,-26.65,62.6,1.12
1264,Kapaa,40,83,22.08,71.47,8.05
1265,Albany,90,69,42.65,30.13,6.93
1266,Whitianga,12,100,-36.83,69.5,5.73
1267,Upernavik,20,90,72.79,12.98,12.66
1268,Carnarvon,92,96,-30.97,58.34,6.62
1269,Quatre Cocos,75,79,-20.21,84.2,6.93
1270,Egvekinot,0,94,66.32,29.09,2.48
1271,Mataura,92,73,-46.19,59.15,27.98
1272,Sinnamary,92,100,5.38,77.15,8.75
1273,Bondo,56,99,3.81,73.91,2.59
1274,Norman Wells,20,70,65.28,-0.41,5.82
1275,Punta Arenas,0,80,-53.16,41.0,11.41
1276,Nossa Senhora das Dores,40,74,-10.49,80.6,5.82
1277,Chokurdakh,8,88,70.62,23.51,15.68
1278,Saint-Philippe,1,75,45.36,31.95,5.82
1279,Ponta do Sol,44,94,-20.63,64.19,3.04
1280,Vaini,0,39,15.34,91.64,3.27
1281,Tagusao,32,74,9.19,84.89,5.73
1282,Mataura,92,73,-46.19,59.15,27.98
1283,Port Elizabeth,75,86,39.31,36.82,7.07
1284,Hermanus,76,96,-34.42,62.3,5.95
1285,Albany,90,69,42.65,30.13,6.93
1286,Tuktoyaktuk,76,78,69.44,-3.03,9.17
1287,Nhulunbuy,75,49,-12.18,91.4,10.29
1288,Eyl,92,98,7.98,80.57,6.06
1289,Ushuaia,75,80,-54.81,41.0,16.11
1290,Koryukivka,12,93,51.77,34.58,11.54
1291,Pevek,0,69,69.7,31.61,9.64
1292,Rikitea,20,100,-23.12,79.04,4.94
1293,Shelburne,90,80,44.08,33.28,2.93
1294,Chuy,56,99,-33.69,66.44,5.17
1295,Ahipara,12,81,-35.17,67.7,7.85
1296,Camacupa,88,97,-12.02,63.56,3.94
1297,Yatou,40,94,3.63,77.0,1.12
1298,Port Elizabeth,75,86,39.31,36.82,7.07
1299,Bambous Virieux,75,88,-20.34,80.6,8.05
1300,Zhigansk,80,56,66.77,14.6,8.3
1301,Castro,92,100,-42.48,54.92,3.6
1302,Ballina,90,100,54.11,37.4,10.29
1303,East London,90,88,-33.02,69.8,9.17
1304,Yaring,20,62,6.87,87.8,11.41
1305,Lebu,75,82,8.96,59.0,8.05
1306,Jamestown,0,33,-33.21,75.44,6.96
1307,Belgaum,0,39,15.87,91.64,3.27
1308,Barrow,0,91,-38.31,54.56,9.19
1309,Nanortalik,44,100,60.14,32.33,18.81
1310,Kodiak,90,100,39.95,33.8,3.36
1311,Cortez,40,18,37.35,59.0,17.22
1312,Ahipara,12,81,-35.17,67.7,7.85
1313,Dunedin,12,43,-45.87,62.66,12.55
1314,Albany,90,69,42.65,30.13,6.93
1315,Kidal,48,30,18.44,65.63,3.94
1316,Dzilam Gonzalez,0,67,21.28,75.35,6.62
1317,Luena,12,94,-11.78,64.73,4.94
1318,Upernavik,20,90,72.79,12.98,12.66
1319,Chuy,56,99,-33.69,66.44,5.17
1320,Bethel,1,63,60.79,28.4,13.87
1321,Bonthe,92,90,7.53,79.22,4.61
1322,Mataura,92,73,-46.19,59.15,27.98
1323,Isangel,8,100,-19.55,80.3,14.34
1324,Provideniya,20,100,64.42,28.4,2.24
1325,Nanortalik,44,100,60.14,32.33,18.81
1326,Saint-Philippe,1,75,45.36,31.95,5.82
1327,Lasa,0,56,34.92,65.98,2.24
1328,Thinadhoo,48,99,0.53,85.97,4.5
1329,Punta Arenas,0,80,-53.16,41.0,11.41
1330,Hithadhoo,48,100,-0.6,84.35,3.83
1331,Pontianak,48,82,-0.02,86.69,3.38
1332,Iracoubo,68,92,5.48,76.16,3.6
1333,Atuona,68,100,-9.8,81.38,16.35
1334,Hegang,48,41,47.34,37.19,12.55
1335,Talnakh,12,91,69.49,-7.46,4.16
1336,Chokurdakh,8,88,70.62,23.51,15.68
1337,Sao Joao da Barra,80,94,-21.64,81.74,22.39
1338,Cidreira,80,97,-30.17,67.97,6.73
1339,Broome,75,93,52.47,50.0,11.41
1340,Rikitea,20,100,-23.12,79.04,4.94
1341,Nikolskoye,90,95,59.7,32.0,17.9
1342,Rikitea,20,100,-23.12,79.04,4.94
1343,Raudeberg,0,63,61.99,25.38,6.93
1344,New Norfolk,20,40,-42.78,69.8,17.22
1345,Busselton,0,83,-33.64,75.44,9.42
1346,Mongo,24,94,4.83,75.35,2.37
1347,Manhattan,90,93,39.18,37.4,11.41
1348,Suzhou,48,76,33.65,81.29,4.61
1349,Avarua,75,88,-21.21,77.0,8.05
1350,Ribeira Grande,20,58,38.52,57.2,18.34
1351,Koslan,92,81,63.46,35.84,10.65
1352,Georgetown,75,100,6.8,73.4,5.5
1353,Rikitea,20,100,-23.12,79.04,4.94
1354,Nikolskoye,90,95,59.7,32.0,17.9
1355,Cidreira,80,97,-30.17,67.97,6.73
1356,Lincoln,75,93,53.23,47.57,12.75
1357,Jamestown,0,33,-33.21,75.44,6.96
1358,Kodiak,90,100,39.95,33.8,3.36
1359,Pacific Grove,75,76,36.62,52.25,5.82
1360,Jamestown,0,33,-33.21,75.44,6.96
1361,Faanui,76,100,-16.48,82.19,11.43
1362,Esperance,20,83,10.24,77.0,5.61
1363,Bandarbeyla,76,100,9.49,80.57,5.73
1364,Punta Arenas,0,80,-53.16,41.0,11.41
1365,Hermanus,76,96,-34.42,62.3,5.95
1366,Khatanga,48,92,71.98,-4.04,4.94
